fov,sep,width,vel,dps,foot
1.6,1951.0,671.317,140.0,16.0,64.543
1.6,1953.0,647.638,140.0,16.0,64.6944
1.6,1955.0,623.033,140.0,16.0,64.8477
1.6,1957.0,597.39,140.0,16.0,65.0031
1.6,1959.0,570.567,140.0,16.0,65.161
1.6,1961.0,542.39,140.0,16.0,65.3216
1.6,1963.0,512.635,140.0,16.0,65.4853
1.6,1965.0,481.01,140.0,16.0,65.6529
1.6,1967.0,447.118,140.0,16.0,65.8249
1.6,1969.0,410.398,140.0,16.0,66.0025
1.6,1971.0,370.009,140.0,16.0,66.1872
1.6,1973.0,324.584,140.0,16.0,66.3818
1.6,1975.0,271.607,140.0,16.0,66.591
1.6,1977.0,205.316,140.0,16.0,66.8258
1.8,1703.0,1102.675,100.0,18.0,58.6224
1.8,1705.0,1090.242,100.0,18.0,58.7429
1.8,1707.0,1077.651,100.0,18.0,58.8638
1.8,1709.0,1064.896,100.0,18.0,58.985
1.8,1711.0,1051.971,105.0,18.0,59.036
1.8,1713.0,1038.87,105.0,18.0,59.1588
1.8,1715.0,1025.586,105.0,18.0,59.2821
1.8,1717.0,1012.112,110.0,18.0,59.3376
1.8,1719.0,998.44,110.0,18.0,59.4626
1.8,1721.0,984.563,110.0,18.0,59.588
1.8,1723.0,970.47,115.0,18.0,59.6485
1.8,1725.0,956.152,115.0,18.0,59.7758
1.8,1727.0,941.6,120.0,18.0,59.84
1.8,1729.0,926.803,120.0,18.0,59.9693
1.8,1731.0,911.747,125.0,18.0,60.0375
1.8,1733.0,896.421,125.0,18.0,60.169
1.8,1735.0,880.811,130.0,18.0,60.2414
1.8,1737.0,864.9,130.0,18.0,60.3753
1.8,1739.0,848.672,135.0,18.0,60.4523
1.8,1741.0,832.108,135.0,18.0,60.5887
1.8,1743.0,815.188,140.0,18.0,60.6705
1.8,1745.0,797.889,140.0,18.0,60.8098
1.8,1747.0,780.187,140.0,18.0,60.95
1.8,1749.0,762.052,140.0,18.0,61.0912
1.8,1751.0,743.454,140.0,18.0,61.2334
1.8,1753.0,724.356,140.0,18.0,61.3768
1.8,1755.0,704.718,140.0,18.0,61.5213
1.8,1757.0,684.493,140.0,18.0,61.6672
1.8,1759.0,663.629,140.0,18.0,61.8144
1.8,1761.0,642.062,140.0,18.0,61.9631
1.8,1763.0,619.719,140.0,18.0,62.1135
1.8,1765.0,596.513,140.0,18.0,62.2658
1.8,1767.0,572.338,140.0,18.0,62.42
1.8,1769.0,547.068,140.0,18.0,62.5765
1.8,1771.0,520.541,140.0,18.0,62.7356
1.8,1773.0,492.556,140.0,18.0,62.8977
1.8,1775.0,462.847,140.0,18.0,63.0632
1.8,1777.0,431.058,140.0,18.0,63.2329
1.8,1779.0,396.69,140.0,18.0,63.4077
1.8,1781.0,359.003,140.0,18.0,63.589
1.8,1783.0,316.814,140.0,18.0,63.7792
1.8,1785.0,268.006,140.0,18.0,63.9822
1.8,1787.0,207.97,140.0,18.0,64.2068
1.8,1789.0,121.01,140.0,18.0,64.4831
2.0,1540.0,1060.061,100.0,20.0,56.3133
2.0,1542.0,1048.367,100.0,20.0,56.4332
2.0,1544.0,1036.526,100.0,20.0,56.5534
2.0,1546.0,1024.532,105.0,20.0,56.6055
2.0,1548.0,1012.38,105.0,20.0,56.7273
2.0,1550.0,1000.065,105.0,20.0,56.8495
2.0,1552.0,987.58,110.0,20.0,56.9058
2.0,1554.0,974.918,110.0,20.0,57.0296
2.0,1556.0,962.074,110.0,20.0,57.1538
2.0,1558.0,949.038,115.0,20.0,57.2147
