fov,sep,width,vel,dps,foot,,,,,,,,
1.5,4655,1039.713304,140,18,462.19492,,,,,,,,
1.5,4660,945.8878127,140,18,463.423227,,,,,,,,
1.5,4665,841.5484265,140,18,464.6803735,,,,,,,,
1.5,4670,722.1521683,140,18,465.9783525,,,,,,,,
1.5,4675,578.4494396,140,18,467.3411264,,,,,,,,
1.5,4680,384.0621748,140,18,468.8385561,,,,,,,,
1.6,3500,5712.676534,140,20,271.6648332,,,,,,,,
1.6,3505,5700.401142,140,20,272.4669374,,,,,,,,
1.6,3510,5688.081679,140,20,273.2703325,,,,,,,,
1.6,3515,5675.717856,140,20,274.0750192,,,,,,,,
1.6,3520,5663.309384,140,20,274.8809984,,,,,,,,
1.6,3525,5650.855969,140,20,275.688271,,,,,,,,
1.6,3530,5638.357312,140,20,276.4968379,,,,,,,,
1.6,3535,5625.813113,140,20,277.3067,,,,,,,,
1.6,3540,5613.223066,140,20,278.1178581,,,,,,,,
1.6,3545,5600.586861,140,20,278.9303132,,,,,,,,
1.6,3550,5587.904185,140,20,279.7440661,,,,,,,,
1.6,3555,5575.174722,140,20,280.559118,,,,,,,,
1.6,3560,5562.39815,140,20,281.3754695,,,,,,,,
1.6,3565,5549.574144,140,20,282.1931219,,,,,,,,
1.6,3570,5536.702374,140,20,283.0120759,,,,,,,,
1.6,3575,5523.782507,140,20,283.8323326,,,,,,,,
1.6,3580,5510.814203,140,20,284.6538929,,,,,,,,
1.6,3585,5497.797121,140,20,285.4767579,,,,,,,,
1.6,3590,5484.730913,140,20,286.3009286,,,,,,,,
1.6,3595,5471.615226,140,20,287.126406,,,,,,,,
1.6,3600,5458.449705,140,20,287.9531912,,,,,,,,
1.6,3605,5445.233988,140,20,288.7812852,,,,,,,,
1.6,3610,5431.967708,140,20,289.610689,,,,,,,,
1.6,3615,5418.650495,140,20,290.4414038,,,,,,,,
1.6,3620,5405.281971,140,20,291.2734306,,,,,,,,
1.6,3625,5391.861755,140,20,292.1067706,,,,,,,,
1.6,3630,5378.38946,140,20,292.9414249,,,,,,,,
1.6,3635,5364.864694,140,20,293.7773946,,,,,,,,
1.6,3640,5351.287059,140,20,294.6146809,,,,,,,,
1.6,3645,5337.656151,140,20,295.4532849,,,,,,,,
1.6,3650,5323.971561,140,20,296.2932078,,,,,,,,
1.6,3655,5310.232875,140,20,297.1344508,,,,,,,,
1.6,3660,5296.439671,140,20,297.9770152,,,,,,,,
1.6,3665,5282.591522,140,20,298.8209022,,,,,,,,
1.6,3670,5268.687994,140,20,299.6661129,,,,,,,,
1.6,3675,5254.72865,140,20,300.5126488,,,,,,,,
1.6,3680,5240.713041,140,20,301.360511,,,,,,,,
1.6,3685,5226.640717,140,20,302.2097009,,,,,,,,
1.6,3690,5212.511217,140,20,303.0602197,,,,,,,,
1.6,3695,5198.324074,140,20,303.9120689,,,,,,,,
1.6,3700,5184.078817,140,20,304.7652498,,,,,,,,
1.6,3705,5169.774964,140,20,305.6197637,,,,,,,,
1.6,3710,5155.412028,140,20,306.4756121,,,,,,,,
1.6,3715,5140.989514,140,20,307.3327963,,,,,,,,
1.6,3720,5126.506918,140,20,308.1913179,,,,,,,,
1.6,3725,5111.963731,140,20,309.0511782,,,,,,,,
1.6,3730,5097.359432,140,20,309.9123788,,,,,,,,
1.6,3735,5082.693497,140,20,310.7749211,,,,,,,,
1.6,3740,5067.965389,140,20,311.6388066,,,,,,,,
1.6,3745,5053.174565,140,20,312.504037,,,,,,,,
1.6,3750,5038.320472,140,20,313.3706137,,,,,,,,
1.6,3755,5023.40255,140,20,314.2385385,,,,,,,,
1.6,3760,5008.420228,140,20,315.1078128,,,,,,,,
1.6,3765,4993.372927,140,20,315.9784384,,,,,,,,
1.6,3770,4978.260056,140,20,316.8504168,,,,,,,,
1.6,3775,4963.081017,140,20,317.7237499,,,,,,,,
1.6,3780,4947.835202,140,20,318.5984393,,,,,,,,
1.6,3785,4932.52199,140,20,319.4744868,,,,,,,,
1.6,3790,4917.140753,140,20,320.3518941,,,,,,,,
1.6,3795,4901.690849,140,20,321.2306631,,,,,,,,
1.6,3800,4886.171629,140,20,322.1107955,,,,,,,,
1.6,3805,4870.582428,140,20,322.9922933,,,,,,,,
1.6,3810,4854.922572,140,20,323.8751584,,,,,,,,
1.6,3815,4839.191377,140,20,324.7593926,,,,,,,,
1.6,3820,4823.388144,140,20,325.644998,,,,,,,,
1.6,3825,4807.512162,140,20,326.5319765,,,,,,,,
1.6,3830,4791.562708,140,20,327.4203302,,,,,,,,
1.6,3835,4775.539046,140,20,328.3100611,,,,,,,,
1.6,3840,4759.440428,140,20,329.2011713,,,,,,,,
1.6,3845,4743.266088,140,20,330.093663,,,,,,,,
1.6,3850,4727.015251,140,20,330.9875383,,,,,,,,
1.6,3855,4710.687124,140,20,331.8827994,,,,,,,,
1.6,3860,4694.280902,140,20,332.7794486,,,,,,,,
1.6,3865,4677.795761,140,20,333.6774882,,,,,,,,
1.6,3870,4661.230866,140,20,334.5769205,,,,,,,,
1.6,3875,4644.585362,140,20,335.4777479,,,,,,,,
1.6,3880,4627.85838,140,20,336.3799727,,,,,,,,
1.6,3885,4611.049033,140,20,337.2835976,,,,,,,,
1.6,3890,4594.156417,140,20,338.1886249,,,,,,,,
1.6,3895,4577.17961,140,20,339.0950572,,,,,,,,
