fov,sep,width,vel,dps,foot,,,,,,,,
1.2,3384,6363.251,100,20,123.7066,,,,,,,,
1.2,3386,6358.994,100,20,123.8467,,,,,,,,
1.2,3388,6354.732,100,20,123.9869,,,,,,,,
1.2,3390,6350.464,100,20,124.1272,,,,,,,,
1.2,3392,6346.191,100,20,124.2676,,,,,,,,
1.2,3394,6341.912,100,20,124.4081,,,,,,,,
1.2,3396,6337.628,100,20,124.5486,,,,,,,,
1.2,3398,6333.339,100,20,124.6893,,,,,,,,
1.2,3400,6329.044,100,20,124.83,,,,,,,,
1.2,3402,6324.743,100,20,124.9709,,,,,,,,
1.2,3404,6320.437,100,20,125.1118,,,,,,,,
1.2,3406,6316.126,100,20,125.2528,,,,,,,,
1.2,3416,6294.487,100,20,125.9591,,,,,,,,
1.2,3418,6290.143,100,20,126.1007,,,,,,,,
1.2,3420,6285.793,100,20,126.2423,,,,,,,,
1.2,3422,6281.438,100,20,126.384,,,,,,,,
1.2,3424,6277.076,100,20,126.5258,,,,,,,,
1.2,3426,6272.71,100,20,126.6677,,,,,,,,
1.2,3428,6268.338,100,20,126.8097,,,,,,,,
1.2,3430,6263.96,100,20,126.9518,,,,,,,,
1.2,3432,6259.576,100,20,127.0939,,,,,,,,
1.2,3434,6255.187,105,20,127.0274,,,,,,,,
1.2,3436,6250.793,105,20,127.1698,,,,,,,,
1.2,3438,6246.392,105,20,127.3123,,,,,,,,
1.2,3440,6241.986,105,20,127.4549,,,,,,,,
1.2,3442,6237.575,105,20,127.5975,,,,,,,,
1.2,3444,6233.157,105,20,127.7403,,,,,,,,
1.2,3452,6215.431,100,20,128.5205,,,,,,,,
1.2,3454,6210.985,105,20,128.4554,,,,,,,,
1.2,3456,6206.533,105,20,128.5987,,,,,,,,
1.2,3458,6202.075,105,20,128.7421,,,,,,,,
1.2,3460,6197.612,105,20,128.8855,,,,,,,,
1.2,3462,6193.143,105,20,129.0291,,,,,,,,
1.2,3464,6188.668,105,20,129.1728,,,,,,,,
1.2,3466,6184.187,105,20,129.3165,,,,,,,,
1.2,3468,6179.7,105,20,129.4603,,,,,,,,
1.2,3470,6175.208,105,20,129.6042,,,,,,,,
1.2,3472,6170.71,105,20,129.7483,,,,,,,,
1.2,3474,6166.205,105,20,129.8924,,,,,,,,
1.2,3476,6161.695,105,20,130.0365,,,,,,,,
1.2,3478,6157.179,105,20,130.1808,,,,,,,,
1.2,3488,6134.51,100,20,131.1107,,,,,,,,
1.2,3490,6129.959,110,20,130.8413,,,,,,,,
1.2,3492,6125.401,110,20,130.9862,,,,,,,,
1.2,3494,6120.837,110,20,131.1313,,,,,,,,
1.2,3496,6116.268,110,20,131.2765,,,,,,,,
1.2,3498,6111.692,110,20,131.4217,,,,,,,,
1.2,3500,6107.11,110,20,131.567,,,,,,,,
1.2,3502,6102.522,110,20,131.7125,,,,,,,,
1.2,3504,6097.928,110,20,131.858,,,,,,,,
1.2,3506,6093.328,110,20,132.0036,,,,,,,,
1.2,3508,6088.722,110,20,132.1493,,,,,,,,
1.2,3510,6084.11,110,20,132.2951,,,,,,,,
1.2,3512,6079.492,110,20,132.4409,,,,,,,,
1.2,3514,6074.867,110,20,132.5869,,,,,,,,
1.2,3518,6065.599,100,18,132.8333,,,,,,,,
1.2,3520,6060.956,100,18,132.9796,,,,,,,,
1.2,3522,6056.307,100,20,133.5836,,,,,,,,
1.2,3524,6051.652,110,20,133.3181,,,,,,,,
1.2,3526,6046.99,110,20,133.4646,,,,,,,,
1.2,3528,6042.322,115,20,133.4054,,,,,,,,
1.2,3530,6037.648,115,20,133.5521,,,,,,,,
1.2,3532,6032.968,115,20,133.699,,,,,,,,
1.2,3534,6028.281,115,20,133.8459,,,,,,,,
1.2,3536,6023.588,115,20,133.993,,,,,,,,
1.2,3538,6018.888,115,20,134.1401,,,,,,,,
1.2,3540,6014.183,115,20,134.2873,,,,,,,,
1.2,3542,6009.471,115,20,134.4346,,,,,,,,
1.2,3544,6004.752,115,20,134.582,,,,,,,,
1.2,3546,6000.027,115,20,134.7295,,,,,,,,
1.2,3548,5995.296,115,20,134.8771,,,,,,,,
1.2,3550,5990.559,115,20,135.0248,,,,,,,,
1.2,3552,5985.815,105,18,135.1042,,,,,,,,
1.2,3554,5981.064,105,18,135.2521,,,,,,,,
1.2,3556,5976.307,105,18,135.4001,,,,,,,,
1.2,3558,5971.544,105,20,136.0257,,,,,,,,
1.2,3560,5966.774,115,20,135.7645,,,,,,,,
1.2,3562,5961.998,115,20,135.9127,,,,,,,,
1.2,3564,5957.215,115,20,136.0611,,,,,,,,
1.2,3566,5952.425,115,20,136.2095,,,,,,,,
1.2,3568,5947.63,115,20,136.358,,,,,,,,
1.2,3570,5942.827,115,20,136.5065,,,,,,,,
1.2,3572,5938.018,120,20,136.451,,,,,,,,
1.2,3574,5933.202,120,20,136.5999,,,,,,,,
1.2,3576,5928.38,120,20,136.7488,,,,,,,,
1.2,3578,5923.551,120,20,136.8978,,,,,,,,
1.2,3580,5918.715,120,20,137.047,,,,,,,,
1.2,3582,5913.873,120,20,137.1962,,,,,,,,
1.2,3584,5909.024,120,20,137.3455,,,,,,,,
1.2,3586,5904.169,105,18,137.6306,,,,,,,,
1.2,3588,5899.306,105,18,137.7801,,,,,,,,
1.2,3590,5894.437,110,18,137.7035,,,,,,,,
1.2,3592,5889.562,110,20,138.3503,,,,,,,,
1.2,3594,5884.679,115,20,138.2967,,,,,,,,
1.2,3596,5879.79,120,20,138.2433,,,,,,,,
1.2,3598,5874.894,120,20,138.3932,,,,,,,,
1.2,3600,5869.991,120,20,138.5433,,,,,,,,
1.2,3602,5865.081,120,20,138.6934,,,,,,,,
1.2,3604,5860.165,120,20,138.8436,,,,,,,,
1.2,3606,5855.241,120,20,138.9939,,,,,,,,
1.2,3608,5850.311,120,20,139.1443,,,,,,,,
1.2,3610,5845.374,120,20,139.2949,,,,,,,,
1.2,3612,5840.43,125,20,139.2429,,,,,,,,
1.2,3614,5835.478,125,20,139.3937,,,,,,,,
1.2,3616,5830.52,125,20,139.5445,,,,,,,,
1.2,3618,5825.556,125,20,139.6955,,,,,,,,
1.2,3620,5820.584,125,20,139.8465,,,,,,,,
1.2,3622,5815.605,110,18,140.11,,,,,,,,
1.2,3624,5810.619,110,18,140.2612,,,,,,,,
1.2,3626,5805.626,110,20,140.9058,,,,,,,,
1.2,3628,5800.626,120,20,140.6535,,,,,,,,
