fov,sep,width,vel,dps,foot,,,,,,,,
3.7,1411,2855.809,140,46,91.3285,,,,,,,,
3.7,1413,2851.851,140,46,91.5087,,,,,,,,
3.7,1415,2847.882,140,46,91.6892,,,,,,,,
3.7,1417,2843.901,140,46,91.87,,,,,,,,
3.7,1419,2839.909,140,46,92.0511,,,,,,,,
3.7,1421,2835.906,140,60,93.0371,,,,,,,,
3.7,1423,2831.892,140,60,93.2185,,,,,,,,
3.7,1425,2827.867,140,60,93.4001,,,,,,,,
3.7,1427,2823.83,140,60,93.5821,,,,,,,,
3.7,1429,2819.781,140,60,93.7642,,,,,,,,
3.7,1431,2815.721,140,60,93.9467,,,,,,,,
3.7,1433,2811.65,140,60,94.1294,,,,,,,,
3.7,1435,2807.566,140,60,94.3125,,,,,,,,
3.7,1437,2803.472,140,60,94.4957,,,,,,,,
3.7,1439,2799.365,140,60,94.6793,,,,,,,,
3.7,1441,2795.247,140,60,94.8631,,,,,,,,
3.7,1443,2791.117,140,60,95.0473,,,,,,,,
3.7,1445,2786.975,140,60,95.2316,,,,,,,,
3.7,1447,2782.821,140,60,95.4163,,,,,,,,
3.7,1449,2778.655,140,60,95.6013,,,,,,,,
3.7,1451,2774.477,140,60,95.7865,,,,,,,,
3.7,1453,2770.288,140,60,95.972,,,,,,,,
3.7,1455,2766.086,140,60,96.1577,,,,,,,,
3.7,1457,2761.871,140,60,96.3438,,,,,,,,
3.7,1459,2757.645,140,48,95.8747,,,,,,,,
3.7,1461,2753.406,140,48,96.0616,,,,,,,,
3.7,1463,2749.155,140,48,96.2488,,,,,,,,
3.7,1465,2744.891,140,48,96.4363,,,,,,,,
3.7,1467,2740.615,140,60,97.2781,,,,,,,,
3.7,1469,2736.327,140,60,97.4658,,,,,,,,
3.7,1471,2732.026,140,60,97.6538,,,,,,,,
3.7,1473,2727.712,140,60,97.8421,,,,,,,,
3.7,1475,2723.386,140,60,98.0306,,,,,,,,
3.7,1477,2719.046,140,60,98.2194,,,,,,,,
3.7,1479,2714.694,140,60,98.4085,,,,,,,,
3.7,1481,2710.329,140,60,98.5978,,,,,,,,
3.7,1483,2705.951,140,60,98.7875,,,,,,,,
3.7,1485,2701.561,140,60,98.9774,,,,,,,,
3.7,1487,2697.157,140,60,99.1676,,,,,,,,
3.7,1489,2692.739,140,60,99.358,,,,,,,,
3.7,1491,2688.309,140,60,99.5488,,,,,,,,
3.7,1493,2683.865,140,60,99.7398,,,,,,,,
3.7,1495,2679.408,140,60,99.9311,,,,,,,,
3.7,1497,2674.938,140,60,100.1227,,,,,,,,
3.7,1499,2670.454,140,60,100.3145,,,,,,,,
3.7,1501,2665.957,140,60,100.5067,,,,,,,,
3.7,1503,2661.446,140,60,100.6991,,,,,,,,
3.7,1505,2656.921,140,58,100.8027,,,,,,,,
3.7,1507,2652.383,140,58,100.9957,,,,,,,,
3.7,1509,2647.83,140,58,101.1891,,,,,,,,
3.7,1511,2643.264,140,58,101.3826,,,,,,,,
3.7,1513,2638.684,140,60,101.6653,,,,,,,,
3.7,1515,2634.09,140,60,101.8594,,,,,,,,
3.7,1517,2629.482,140,60,102.0537,,,,,,,,
3.7,1519,2624.859,140,60,102.2484,,,,,,,,
3.7,1521,2620.222,140,60,102.4433,,,,,,,,
3.7,1523,2615.571,140,60,102.6385,,,,,,,,
3.7,1525,2610.906,140,60,102.8339,,,,,,,,
3.7,1527,2606.226,140,60,103.0297,,,,,,,,
3.7,1529,2601.531,140,60,103.2257,,,,,,,,
3.7,1531,2596.822,140,60,103.422,,,,,,,,
3.7,1533,2592.098,140,60,103.6186,,,,,,,,
3.7,1535,2587.36,140,60,103.8155,,,,,,,,
3.7,1537,2582.606,140,60,104.0126,,,,,,,,
3.7,1539,2577.837,140,60,104.2101,,,,,,,,
3.7,1541,2573.054,140,60,104.4078,,,,,,,,
3.7,1543,2568.255,140,60,104.6058,,,,,,,,
3.7,1545,2563.441,140,60,104.804,,,,,,,,
3.7,1547,2558.612,140,60,105.0026,,,,,,,,
3.7,1549,2553.767,140,58,105.114,,,,,,,,
3.7,1551,2548.907,140,58,105.3132,,,,,,,,
3.7,1553,2544.031,140,58,105.5127,,,,,,,,
3.7,1555,2539.139,140,58,105.7124,,,,,,,,
3.7,1557,2534.232,140,60,105.9995,,,,,,,,
3.7,1559,2529.309,140,60,106.1998,,,,,,,,
3.7,1561,2524.37,140,60,106.4003,,,,,,,,
3.7,1563,2519.415,140,60,106.6011,,,,,,,,
3.7,1565,2514.444,140,60,106.8021,,,,,,,,
3.7,1567,2509.457,140,60,107.0035,,,,,,,,
3.7,1569,2504.453,140,60,107.2051,,,,,,,,
3.7,1571,2499.433,140,60,107.4071,,,,,,,,
3.7,1573,2494.396,140,60,107.6093,,,,,,,,
