sample_index,log_frame_index,timestamp,time_s,fov_deg,uav_lat,uav_lon,uav_alt,actual_area_m2,predicted_area_m2,area_error_m2,area_error_pct,centroid_error_m,corner_error_c1_m,corner_error_c2_m,corner_error_c3_m,corner_error_c4_m,mean_corner_error_m,max_corner_error_m,actual_center_lat,actual_center_lon,predicted_center_lat,predicted_center_lon,actual_c1_lat,actual_c1_lon,predicted_c1_lat,predicted_c1_lon,actual_c2_lat,actual_c2_lon,predicted_c2_lat,predicted_c2_lon,actual_c3_lat,actual_c3_lon,predicted_c3_lat,predicted_c3_lon,actual_c4_lat,actual_c4_lon,predicted_c4_lat,predicted_c4_lon
13,13,825297855784,2.606,2.000000,38.059677000,127.268820000,797.000000,2892.233942,5429.928578,2537.694637,87.741680,5.430405,10.514786,23.657776,9.312117,32.359109,18.960947,32.359109,38.074852000,127.269990000,38.074852000,127.269990000,38.075245000,127.269780000,38.075178846,127.269694354,38.075123000,127.270230000,38.075313433,127.270349847,38.074455000,127.270170000,38.074416101,127.270264077,38.074585000,127.269745000,38.074305600,127.269643100
14,14,825297855986,2.808,2.000000,38.059750000,127.268845000,797.000000,2936.761011,5375.170985,2438.409974,83.030589,3.316045,8.722384,27.611522,8.795363,20.901181,16.507613,27.611522,38.074730000,127.270490000,38.074730000,127.270490000,38.075157000,127.270310000,38.075189368,127.270219355,38.074997000,127.270744000,38.075225313,127.270867136,38.074320000,127.270660000,38.074346861,127.270754389,38.074482000,127.270240000,38.074311827,127.270139216
15,15,825297856173,2.995,2.000000,38.059820000,127.268875000,797.000000,3699.978491,5609.249741,1909.271250,51.602226,3.819741,8.942334,9.018953,9.061773,20.379811,11.850718,20.379811,38.075820000,127.270970000,38.075820000,127.270970000,38.076317000,127.270790000,38.076297036,127.270691155,38.076157000,127.271255000,38.076172517,127.271356015,38.075350000,127.271140000,38.075377314,127.271237414,38.075523000,127.270700000,38.075363337,127.270586207
16,16,825297856376,3.198,2.000000,38.059890000,127.268900000,797.000000,3745.094932,6955.039924,3209.944992,85.710644,1.009030,15.711122,19.564503,9.291788,31.283953,18.962842,31.283953,38.076300000,127.270355000,38.076300000,127.270355000,38.076756000,127.270150000,38.076876679,127.270057031,38.076645000,127.270630000,38.076794658,127.270747056,38.075840000,127.270550000,38.075871453,127.270648218,38.075962000,127.270090000,38.075696056,127.269974611
17,17,825297856579,3.401,2.000000,38.059963000,127.268920000,797.000000,3632.909150,7114.731531,3481.822380,95.841163,14.164326,31.100325,38.181289,16.989049,49.216903,33.871892,49.216903,38.076393000,127.269680000,38.076393000,127.269680000,38.076847000,127.269450000,38.076579327,127.269348342,38.076740000,127.269936000,38.077068348,127.270061942,38.075962000,127.269890000,38.075827278,127.269981088,38.076077000,127.269424000,38.075642198,127.269322213
18,18,825297856782,3.604,2.000000,38.060030000,127.268950000,797.000000,3677.020629,11900.488895,8223.468265,223.644877,35.279771,83.277291,97.711556,16.090967,53.222554,62.575592,97.711556,38.076782000,127.268936000,38.076782000,127.268936000,38.077210000,127.268684000,38.077952715,127.268570254,38.077156000,127.269190000,38.078029376,127.269301278,38.076378000,127.269180000,38.076502437,127.269273433,38.076458000,127.268700000,38.075985166,127.268610049
19,19,825297856986,3.808,2.000000,38.060104000,127.268974000,797.000000,3453.006094,13977.081637,10524.075543,304.780103,15.005276,80.651809,101.540108,36.984154,85.322148,76.124555,101.540108,38.076885000,127.268230000,38.076885000,127.268230000,38.077255000,127.267950000,38.077972001,127.267817853,38.077220000,127.268456000,38.078129660,127.268541572,38.076490000,127.268486000,38.076168114,127.268590516,38.076550000,127.268000000,38.075784266,127.267957564
20,20,825297857172,3.994,2.000000,38.060173000,127.269005000,797.000000,3279.856052,13836.713981,10556.857928,321.869550,13.322105,65.021168,65.548137,109.928391,72.982532,78.370057,109.928391,38.076935000,127.267500000,38.076935000,127.267500000,38.077274000,127.267220000,38.077843730,127.267056450,38.077274000,127.267720000,38.077861035,127.267778348,38.076584000,127.267780000,38.075604231,127.267936698,38.076603000,127.267290000,38.075947715,127.267263631
21,21,825297857376,4.198,2.000000,38.060246000,127.269030000,797.000000,3166.205271,12575.748019,9409.542748,297.186757,23.459101,44.089316,49.082505,137.989316,47.926019,69.771789,137.989316,38.076880000,127.267180000,38.076880000,127.267180000,38.077200000,127.266890000,38.077579369,127.266745472,38.077220000,127.267390000,38.077658310,127.267450802,38.076540000,127.267456000,38.075311439,127.267665489,38.076557000,127.266975000,38.076127634,127.266934860
22,22,825297857577,4.399,2.000000,38.060314000,127.269050000,797.000000,3095.748614,13359.321176,10263.572562,331.537662,36.908100,109.750002,114.900221,53.952239,23.968423,75.642722,114.900221,38.076595000,127.267630000,38.076595000,127.267630000,38.076940000,127.267360000,38.077912561,127.267154668,38.076920000,127.267845000,38.077951946,127.267872079,38.076250000,127.267900000,38.075774531,127.268019343,38.076280000,127.267426000,38.076072964,127.267350896
