sample_index,log_frame_index,timestamp,time_s,fov_deg,uav_lat,uav_lon,uav_alt,actual_area_m2,predicted_area_m2,area_error_m2,area_error_pct,centroid_error_m,corner_error_c1_m,corner_error_c2_m,corner_error_c3_m,corner_error_c4_m,mean_corner_error_m,max_corner_error_m,actual_center_lat,actual_center_lon,predicted_center_lat,predicted_center_lon,actual_c1_lat,actual_c1_lon,predicted_c1_lat,predicted_c1_lon,actual_c2_lat,actual_c2_lon,predicted_c2_lat,predicted_c2_lon,actual_c3_lat,actual_c3_lon,predicted_c3_lat,predicted_c3_lon,actual_c4_lat,actual_c4_lon,predicted_c4_lat,predicted_c4_lon
13,13,825297855784,2.606,2.000000,38.059677000,127.268820000,797.000000,2892.233942,5566.379588,2674.145647,92.459521,2.338392,7.314842,25.777704,8.961185,34.386922,19.110163,34.386922,38.074852000,127.269990000,38.074852000,127.269990000,38.075245000,127.269780000,38.075235736,127.269697361,38.075123000,127.270230000,38.075333698,127.270352034,38.074455000,127.270170000,38.074472519,127.270269809,38.074585000,127.269745000,38.074286960,127.269641850
14,14,825297855986,2.808,2.000000,38.059750000,127.268845000,797.000000,2936.761011,5063.759294,2126.998283,72.426673,0.663598,8.315407,19.195941,8.340622,21.792021,14.410998,21.792021,38.074730000,127.270490000,38.074730000,127.270490000,38.075157000,127.270310000,38.075150104,127.270215515,38.074997000,127.270744000,38.075144746,127.270856955,38.074320000,127.270660000,38.074335167,127.270753208,38.074482000,127.270240000,38.074303420,127.270138124
15,15,825297856173,2.995,2.000000,38.059820000,127.268875000,797.000000,3699.978491,5684.205726,1984.227235,53.628075,2.582944,8.760528,10.353960,8.536302,17.944724,11.398879,17.944724,38.075820000,127.270970000,38.075820000,127.270970000,38.076317000,127.270790000,38.076302883,127.270691650,38.076157000,127.271255000,38.076199301,127.271360229,38.075350000,127.271140000,38.075364590,127.271235633,38.075523000,127.270700000,38.075387670,127.270588736
16,16,825297856376,3.198,2.000000,38.059890000,127.268900000,797.000000,3745.094932,6476.307489,2731.212557,72.927726,1.088391,10.535918,15.366162,8.474928,22.047212,14.106055,22.047212,38.076300000,127.270355000,38.076300000,127.270355000,38.076756000,127.270150000,38.076811189,127.270052324,38.076645000,127.270630000,38.076750872,127.270742519,38.075840000,127.270550000,38.075818115,127.270642631,38.075962000,127.270090000,38.075783754,127.269980328
17,17,825297856579,3.401,2.000000,38.059963000,127.268920000,797.000000,3632.909150,6832.597850,3199.688699,88.075109,9.946284,19.477063,29.269109,8.788931,50.331072,26.966544,50.331072,38.076393000,127.269680000,38.076393000,127.269680000,38.076847000,127.269450000,38.076690362,127.269350968,38.076740000,127.269936000,38.076985182,127.270056631,38.075962000,127.269890000,38.075961299,127.269990293,38.076077000,127.269424000,38.075632095,127.269321719
18,18,825297856782,3.604,2.000000,38.060030000,127.268950000,797.000000,3677.020629,11557.626870,7880.606241,214.320425,47.676031,93.243414,105.446183,39.849946,46.577168,71.279177,105.446183,38.076782000,127.268936000,38.076782000,127.268936000,38.077210000,127.268684000,38.078042654,127.268568301,38.077156000,127.269190000,38.078099077,127.269302686,38.076378000,127.269180000,38.076727584,127.269277901,38.076458000,127.268700000,38.076045807,127.268608711
19,19,825297856986,3.808,2.000000,38.060104000,127.268974000,797.000000,3453.006094,14475.140049,11022.133954,319.204011,31.934970,84.904746,137.466090,16.930600,79.234306,79.633936,137.466090,38.076885000,127.268230000,38.076885000,127.268230000,38.077255000,127.267950000,38.078010363,127.267815820,38.077220000,127.268456000,38.078453377,127.268533347,38.076490000,127.268486000,38.076359634,127.268585510,38.076550000,127.268000000,38.075839131,127.267954428
20,20,825297857172,3.994,2.000000,38.060173000,127.269005000,797.000000,3279.856052,15455.946085,12176.090032,371.238549,15.460045,80.283971,73.604621,108.079608,106.740990,92.177298,108.079608,38.076935000,127.267500000,38.076935000,127.267500000,38.077274000,127.267220000,38.077981395,127.267041580,38.077274000,127.267720000,38.077933885,127.267772988,38.076584000,127.267780000,38.075620828,127.267935264,38.076603000,127.267290000,38.075644147,127.267297429
21,21,825297857376,4.198,2.000000,38.060246000,127.269030000,797.000000,3166.205271,14502.615219,11336.409948,358.044062,13.879320,73.682400,70.013998,129.205704,69.255217,85.539330,129.205704,38.076880000,127.267180000,38.076880000,127.267180000,38.077200000,127.266890000,38.077846660,127.266710600,38.077220000,127.267390000,38.077848025,127.267433242,38.076540000,127.267456000,38.075390272,127.267658025,38.076557000,127.266975000,38.075934973,127.266960614
22,22,825297857577,4.399,2.000000,38.060314000,127.269050000,797.000000,3095.748614,14408.376531,11312.627917,365.424630,36.452383,123.231601,118.486087,45.263000,50.851143,84.457958,123.231601,38.076595000,127.267630000,38.076595000,127.267630000,38.076940000,127.267360000,38.078033628,127.267142011,38.076920000,127.267845000,38.077984203,127.267869545,38.076250000,127.267900000,38.075853374,127.268013732,38.076280000,127.267426000,38.075824761,127.267378013
