sample_index,log_frame_index,timestamp,time_s,fov_deg,uav_lat,uav_lon,uav_alt,actual_area_m2,predicted_area_m2,area_error_m2,area_error_pct,centroid_error_m,corner_error_c1_m,corner_error_c2_m,corner_error_c3_m,corner_error_c4_m,mean_corner_error_m,max_corner_error_m,actual_center_lat,actual_center_lon,predicted_center_lat,predicted_center_lon,actual_c1_lat,actual_c1_lon,predicted_c1_lat,predicted_c1_lon,actual_c2_lat,actual_c2_lon,predicted_c2_lat,predicted_c2_lon,actual_c3_lat,actual_c3_lon,predicted_c3_lat,predicted_c3_lon,actual_c4_lat,actual_c4_lon,predicted_c4_lat,predicted_c4_lon
13,13,826613795716,1.000,10.000000,38.011016581,127.245398398,994.011301,11082.032480,11148.152398,66.119918,0.596641,0.052853,0.292591,0.346138,0.083079,0.222857,0.236166,0.346138,38.010995022,127.245386885,38.010995022,127.245386885,38.010425358,127.245949228,38.010422965,127.245950608,38.010912420,127.244474129,38.010912189,127.244470193,38.011568131,127.244821114,38.011568833,127.244821438,38.011077496,127.246297632,38.011077536,127.246300172
14,14,826613795849,1.133,10.000000,38.011059669,127.245421407,992.864170,11053.837677,11118.039563,64.201886,0.580811,0.057462,0.280492,0.339414,0.072656,0.245445,0.234502,0.339414,38.011038117,127.245409898,38.011038117,127.245409898,38.010469041,127.245971655,38.010466739,127.245972954,38.010955607,127.244498171,38.010955385,127.244494311,38.011610606,127.244844734,38.011611100,127.244845276,38.011120450,127.246318947,38.011120510,127.246321744
15,15,826613795916,1.200,10.000000,38.011081211,127.245432911,992.289479,11039.444655,11102.996846,63.552191,0.575683,0.061281,0.276991,0.333559,0.071703,0.260657,0.235727,0.333559,38.011059660,127.245421402,38.011059660,127.245421402,38.010490885,127.245982860,38.010488609,127.245984136,38.010977193,127.244510170,38.010976979,127.244506376,38.011631838,127.244856543,38.011632232,127.244857190,38.011141919,127.246329542,38.011141991,127.246332512
16,16,826613795983,1.267,10.000000,38.011102754,127.245444415,991.715163,11025.113751,11087.664528,62.550777,0.567348,0.066164,0.274173,0.322593,0.073611,0.275051,0.236357,0.322593,38.011081202,127.245432906,38.011081202,127.245432906,38.010512731,127.245994060,38.010510477,127.245995319,38.010998776,127.244522154,38.010998577,127.244518485,38.011653069,127.244868350,38.011653364,127.244869102,38.011163386,127.246340137,38.011163471,127.246343271
17,17,826613796049,1.333,10.000000,38.011124298,127.245455920,991.141834,11010.950268,11072.345095,61.394827,0.557580,0.072156,0.272038,0.310619,0.078613,0.288626,0.237474,0.310619,38.011102745,127.245444410,38.011102745,127.245444410,38.010534582,127.246005258,38.010532344,127.246006504,38.011020359,127.244534125,38.011020176,127.244530591,38.011674311,127.244880148,38.011674499,127.244881012,38.011184855,127.246350733,38.011184951,127.246354021
18,18,826613796116,1.400,10.000000,38.011145846,127.245467427,990.569969,10997.093580,11057.054618,59.961038,0.545244,0.079310,0.270045,0.297648,0.087679,0.301441,0.239203,0.301441,38.011124291,127.245455916,38.011124291,127.245455916,38.010556434,127.246016457,38.010554212,127.246017692,38.011041942,127.244546082,38.011041778,127.244542695,38.011695575,127.244891926,38.011695640,127.244892922,38.011206325,127.246361332,38.011206434,127.246364766
19,19,826613796183,1.467,10.000000,38.011167397,127.245478935,989.999933,10984.209330,11041.801824,57.592494,0.524321,0.084121,0.256912,0.283708,0.099520,0.313475,0.238404,0.313475,38.011145840,127.245467424,38.011145840,127.245467424,38.010578205,127.246027736,38.010576082,127.246028885,38.011063526,127.244558026,38.011063383,127.244554796,38.011716847,127.244903700,38.011716786,127.244904832,38.011227799,127.246371934,38.011227920,127.246375504
20,20,826613796316,1.600,10.000000,38.011210511,127.245501959,988.866418,10959.469296,11011.434651,51.965355,0.474159,0.093628,0.226236,0.253052,0.128885,0.333024,0.235299,0.333024,38.011188951,127.245490446,38.011188951,127.245490446,38.010621717,127.246050338,38.010619825,127.246051283,38.011106700,127.244581871,38.011106602,127.244578989,38.011759417,127.244927237,38.011759097,127.244928649,38.011270759,127.246393173,38.011270902,127.246396966
21,21,826613796383,1.667,10.000000,38.011232075,127.245513474,988.303325,10947.824770,10997.224540,49.399771,0.451229,0.099978,0.208737,0.236756,0.145568,0.350384,0.235361,0.350384,38.011210513,127.245501960,38.011210513,127.245501960,38.010643458,127.246061662,38.010641700,127.246062489,38.011128292,127.244593779,38.011128218,127.244591081,38.011780717,127.244939000,38.011780264,127.244940557,38.011292249,127.246403851,38.011292409,127.246407840
22,22,826613796449,1.733,10.000000,38.011253644,127.245524992,987.742855,10936.439250,10983.959431,47.520181,0.434512,0.106191,0.189850,0.220705,0.157997,0.373741,0.235573,0.373741,38.011232080,127.245513477,38.011232080,127.245513477,38.010665190,127.246073001,38.010663576,127.246073700,38.011149887,127.244605686,38.011149837,127.244603170,38.011802027,127.244950761,38.011801478,127.244952422,38.011313744,127.246414539,38.011313926,127.246418794
