sample_index,log_frame_index,timestamp,time_s,fov_deg,uav_lat,uav_lon,uav_alt,actual_area_m2,predicted_area_m2,area_error_m2,area_error_pct,centroid_error_m,corner_error_c1_m,corner_error_c2_m,corner_error_c3_m,corner_error_c4_m,mean_corner_error_m,max_corner_error_m,actual_center_lat,actual_center_lon,predicted_center_lat,predicted_center_lon,actual_c1_lat,actual_c1_lon,predicted_c1_lat,predicted_c1_lon,actual_c2_lat,actual_c2_lon,predicted_c2_lat,predicted_c2_lon,actual_c3_lat,actual_c3_lon,predicted_c3_lat,predicted_c3_lon,actual_c4_lat,actual_c4_lon,predicted_c4_lat,predicted_c4_lon
0,0,826609413281,0.000,4.097963,37.908768000,128.171600000,1395.000000,2676.163112,2714.485641,38.322529,1.431995,10.620041,34.504410,45.383905,11.449899,46.202586,34.385200,46.202586,37.912796000,128.172270000,37.912796000,128.172270000,37.912674000,128.171900000,37.912976363,128.171986443,37.913086000,128.172120000,37.913036381,128.172632911,37.912685000,128.172600000,37.912592973,128.172541772,37.912308000,128.172380000,37.912522152,128.171929362
1,1,826609413485,0.204,4.097963,37.908836000,128.171590000,1395.000000,3137.610067,3067.234057,-70.376010,-2.242981,12.835603,13.298339,58.972061,35.509904,47.493837,38.818535,58.972061,37.913055000,128.172910000,37.913055000,128.172910000,37.913254000,128.172590000,37.913358327,128.172663765,37.913670000,128.172870000,37.913280746,128.173325464,37.913105000,128.173320000,37.912812309,128.173159235,37.912754000,128.173050000,37.912885051,128.172535365
2,2,826609413688,0.407,4.097963,37.908897000,128.171570000,1394.000000,3629.056539,4183.406502,554.349963,15.275319,1.155263,16.080204,21.220557,13.983914,23.914353,18.799757,23.914353,37.913544000,128.173610000,37.913544000,128.173610000,37.914013000,128.173550000,37.913931157,128.173399128,37.913612000,128.174070000,37.913800298,128.174107662,37.913147000,128.173690000,37.913216603,128.173822550,37.913567000,128.173220000,37.913355305,128.173173675
3,3,826609413891,0.610,4.097963,37.908960000,128.171550000,1394.000000,3948.529821,4256.477003,307.947182,7.799034,7.610229,22.878117,13.246442,8.619464,25.671898,17.603980,25.671898,37.914000000,128.174320000,37.914000000,128.174320000,37.914490000,128.174270000,37.914340145,128.174091728,37.914030000,128.174800000,37.914147912,128.174820297,37.913624000,128.174410000,37.913624606,128.174508142,37.914013000,128.173870000,37.913786724,128.173813568
4,4,826609414082,0.801,4.097963,37.909027000,128.171540000,1394.000000,4790.256528,4584.793078,-205.463450,-4.289195,1.436239,20.025260,16.671346,15.056602,17.337779,17.272747,20.025260,37.914450000,128.174970000,37.914450000,128.174970000,37.914963000,128.174940000,37.914845651,128.174767179,37.914402000,128.175450000,37.914549205,128.175484925,37.913950000,128.174990000,37.914027749,128.175130287,37.914455000,128.174480000,37.914301280,128.174448243
5,5,826609414285,1.004,4.097963,37.909090000,128.171520000,1393.000000,5083.721542,4933.357907,-150.363635,-2.957747,0.188321,21.705868,20.151938,19.054142,16.807987,19.429983,21.705868,37.914790000,128.174910000,37.914790000,128.174910000,37.915320000,128.174880000,37.915193423,128.174692000,37.914745000,128.175400000,37.914922180,128.175447062,37.914280000,128.174930000,37.914384053,128.175102269,37.914745000,128.174400000,37.914596530,128.174365190
6,6,826609414489,1.208,4.097963,37.909157000,128.171520000,1393.000000,3988.299814,4089.585926,101.286112,2.539581,3.136301,18.867375,25.459738,21.904239,16.966831,20.799546,25.459738,37.914375000,128.174260000,37.914375000,128.174260000,37.914820000,128.174200000,37.914723144,128.174023701,37.914337000,128.174710000,37.914558734,128.174781047,37.913920000,128.174300000,37.914047451,128.174490023,37.914368000,128.173800000,37.914216480,128.173779083
7,7,826609414692,1.411,4.097963,37.909218000,128.171510000,1392.000000,3850.818489,3893.716412,42.897923,1.113995,3.480579,25.182029,22.066171,17.886855,27.347106,23.120540,27.347106,37.913910000,128.173570000,37.913910000,128.173570000,37.914400000,128.173520000,37.914230919,128.173329514,37.913914000,128.174000000,37.914109172,128.174043916,37.913445000,128.173600000,37.913538570,128.173765571,37.913975000,128.173170000,37.913731226,128.173131457
8,8,826609414880,1.599,4.097963,37.909286000,128.171510000,1392.000000,3128.649193,3192.006392,63.357199,2.025066,8.443711,31.805219,48.564937,14.334679,50.901164,36.401500,50.901164,37.913414000,128.172730000,37.913414000,128.172730000,37.913418000,128.172360000,37.913689413,128.172473129,37.913845000,128.172650000,37.913648310,128.173143588,37.913246000,128.173050000,37.913134532,128.172968279,37.912890000,128.172760000,37.913215521,128.172352976
9,9,826609415085,1.804,4.097963,37.909348000,128.171510000,1391.000000,2252.392575,2347.837338,95.444763,4.237483,5.644937,19.481429,41.989870,29.656753,36.295637,31.855922,41.989870,37.912846000,128.172000000,37.912846000,128.172000000,37.912857000,128.171660000,37.913023206,128.171729450,37.913216000,128.171890000,37.913083750,128.172337759,37.912945000,128.172350000,37.912686750,128.172267057,37.912575000,128.172100000,37.912597197,128.171687687
