sample_index,log_frame_index,timestamp,time_s,fov_deg,uav_lat,uav_lon,uav_alt,actual_area_m2,predicted_area_m2,area_error_m2,area_error_pct,centroid_error_m,corner_error_c1_m,corner_error_c2_m,corner_error_c3_m,corner_error_c4_m,mean_corner_error_m,max_corner_error_m,actual_center_lat,actual_center_lon,predicted_center_lat,predicted_center_lon,actual_c1_lat,actual_c1_lon,predicted_c1_lat,predicted_c1_lon,actual_c2_lat,actual_c2_lon,predicted_c2_lat,predicted_c2_lon,actual_c3_lat,actual_c3_lon,predicted_c3_lat,predicted_c3_lon,actual_c4_lat,actual_c4_lon,predicted_c4_lat,predicted_c4_lon
0,0,825159703941,0.000,10.000000,38.054370000,127.254430000,637.000000,8819.742374,9829.518195,1009.775821,11.449040,426.882922,312.292235,486.675905,455.055824,460.916636,428.735150,486.675905,38.053955000,127.244125000,38.053955000,127.244125000,38.053970000,127.243210000,38.053594611,127.246740647,38.054447000,127.244026000,38.054466187,127.249578034,38.053950000,127.245060000,38.054456284,127.250211391,38.053467000,127.244290000,38.053872047,127.249523000
1,1,825159704144,0.203,10.000000,38.054314000,127.254340000,637.000000,8149.181550,161590.708667,153441.527117,1882.907212,807.388840,4395.720738,407.092024,378.603427,385.634611,1391.762700,4395.720738,38.054222000,127.244910000,38.054222000,127.244910000,38.054240000,127.243996000,38.050104146,127.194124451,38.054676000,127.244804000,38.054560112,127.249445865,38.054207000,127.245850000,38.054526901,127.250150044,38.053770000,127.245090000,38.053971798,127.249481936
2,2,825159704334,0.393,10.000000,38.054268000,127.254265000,636.000000,7204.830953,2911.683710,-4293.147243,-59.587064,347.772091,374.564943,369.025385,317.918042,332.852880,348.590313,374.564943,38.054596000,127.245930000,38.054596000,127.245930000,38.054634000,127.245030000,38.054163977,127.249261246,38.055004000,127.245810000,38.054694156,127.250001516,38.054558000,127.246860000,38.054648430,127.250485080,38.054184000,127.246124000,38.054174745,127.249921262
3,3,825159704532,0.591,10.000000,38.054207000,127.254170000,636.000000,6298.478271,2834.213999,-3464.264272,-55.001607,276.553500,305.350116,297.488245,246.201407,260.169132,277.302225,305.350116,38.054840000,127.246820000,38.054840000,127.246820000,38.054897000,127.245930000,38.054331351,127.249338660,38.055218000,127.246670000,38.054818388,127.250025683,38.054783000,127.247710000,38.054748060,127.250518394,38.054470000,127.247025000,38.054312067,127.249986308
4,4,825159704733,0.792,10.000000,38.054142000,127.254100000,636.000000,5239.650860,2728.347266,-2511.303593,-47.928835,220.540457,250.565940,237.321374,194.537720,202.333062,221.189524,250.565940,38.055042000,127.247620000,38.055042000,127.247620000,38.055115000,127.246765000,38.054498322,127.249514169,38.055386000,127.247444000,38.054950151,127.250094261,38.054970000,127.248410000,38.054845527,127.250623718,38.054700000,127.247820000,38.054449924,127.250106334
5,5,825159704953,1.012,10.000000,38.054077000,127.254010000,636.000000,4338.516492,3660.043268,-678.473224,-15.638369,151.096594,159.953051,169.027505,138.115651,140.466190,151.890599,169.027505,38.055195000,127.248290000,38.055195000,127.248290000,38.055280000,127.247520000,38.054716492,127.249198622,38.055520000,127.248110000,38.055128259,127.249973048,38.055115000,127.249010000,38.054972973,127.250575318,38.054880000,127.248500000,38.054600015,127.250062544
11,11,825159706133,2.192,10.000000,38.053635000,127.253640000,637.000000,2274.330941,164967.712706,162693.381765,7153.461216,1461.413927,5847.982696,18.963301,11.116780,15.291757,1473.338633,5847.982696,38.054980000,127.250030000,38.054980000,127.250030000,38.055030000,127.249504000,38.073696871,127.187142119,38.055240000,127.249810000,38.055257173,127.250025238,38.054935000,127.250500000,38.055031990,127.250530206,38.054730000,127.250250000,38.054708290,127.250077739
12,12,825159706344,2.403,10.000000,38.053555000,127.253586000,637.000000,2297.323427,2787.325214,490.001788,21.329247,8.913852,17.652320,12.844834,17.720748,25.146552,18.341113,25.146552,38.054720000,127.249990000,38.054720000,127.249990000,38.054756000,127.249460000,38.054648679,127.249311747,38.054977000,127.249756000,38.055019499,127.249892236,38.054690000,127.250465000,38.054831283,127.250371850,38.054478000,127.250220000,38.054487673,127.249933384
13,13,825159706535,2.594,10.000000,38.053470000,127.253550000,637.000000,2327.649060,1777.151809,-550.497251,-23.650354,0.866251,17.703909,26.177743,17.053109,26.187089,21.780463,26.187089,38.054460000,127.249985000,38.054460000,127.249985000,38.054474000,127.249450000,38.054323738,127.249516161,38.054707000,127.249740000,38.054690198,127.250037879,38.054443000,127.250465000,38.054577301,127.250371413,38.054222000,127.250230000,38.054232777,127.249931565
14,14,825159706741,2.800,10.000000,38.053390000,127.253500000,638.000000,2310.859223,1653.138814,-657.720409,-28.462158,2.080849,19.657211,27.942555,13.281850,27.210964,22.023145,27.942555,38.054200000,127.249990000,38.054200000,127.249990000,38.054195000,127.249466000,38.054041563,127.249576995,38.054440000,127.249730000,38.054420317,127.250047793,38.054203000,127.250465000,38.054315237,127.250413596,38.053970000,127.250244000,38.053977995,127.249933737
