sample_index,log_frame_index,timestamp,time_s,fov_deg,uav_lat,uav_lon,uav_alt,actual_area_m2,predicted_area_m2,area_error_m2,area_error_pct,centroid_error_m,corner_error_c1_m,corner_error_c2_m,corner_error_c3_m,corner_error_c4_m,mean_corner_error_m,max_corner_error_m,actual_center_lat,actual_center_lon,predicted_center_lat,predicted_center_lon,actual_c1_lat,actual_c1_lon,predicted_c1_lat,predicted_c1_lon,actual_c2_lat,actual_c2_lon,predicted_c2_lat,predicted_c2_lon,actual_c3_lat,actual_c3_lon,predicted_c3_lat,predicted_c3_lon,actual_c4_lat,actual_c4_lon,predicted_c4_lat,predicted_c4_lon
0,0,826609413281,0.000,4.097963,37.908768000,128.171600000,1395.000000,2676.163112,2519.608930,-156.554181,-5.849949,9.356453,17.546136,34.452281,29.399208,11.216903,23.153632,34.452281,37.912796000,128.172270000,37.912796000,128.172270000,37.913086000,128.172120000,37.912968160,128.171987318,37.912685000,128.172600000,37.912994047,128.172620978,37.912308000,128.172380000,37.912544813,128.172528181,37.912674000,128.171900000,37.912577298,128.171935893
1,1,826609413485,0.204,4.097963,37.908836000,128.171590000,1395.000000,3137.610067,2736.012570,-401.597497,-12.799471,13.158881,13.273202,61.921958,31.359129,47.273093,38.456846,61.921958,37.913055000,128.172910000,37.913055000,128.172910000,37.913254000,128.172590000,37.913356778,128.172666615,37.913670000,128.172870000,37.913230786,128.173302648,37.913105000,128.173320000,37.912849233,128.173170346,37.912754000,128.173050000,37.912888603,128.172539489
2,2,826609413688,0.407,4.097963,37.908897000,128.171570000,1394.000000,3629.056539,4099.803745,470.747206,12.971614,1.293683,17.200516,26.706978,22.113199,27.388849,23.352385,27.388849,37.913544000,128.173610000,37.913544000,128.173610000,37.914013000,128.173550000,37.913915963,128.173397587,37.913612000,128.174070000,37.913847528,128.174127875,37.913147000,128.173690000,37.913294378,128.173858824,37.913567000,128.173220000,37.913324593,128.173166616
3,3,826609413891,0.610,4.097963,37.908960000,128.171550000,1394.000000,3948.529821,4341.446526,392.916705,9.950962,7.564655,25.062264,17.282368,11.372601,31.789779,21.376753,31.789779,37.914000000,128.174320000,37.914000000,128.174320000,37.914490000,128.174270000,37.914319258,128.174083995,37.914030000,128.174800000,37.914182081,128.174839558,37.913624000,128.174410000,37.913662591,128.174529900,37.914013000,128.173870000,37.913734289,128.173791130
4,4,826609414082,0.801,4.097963,37.909027000,128.171540000,1394.000000,4790.256528,5361.613104,571.356576,11.927473,0.353041,17.720314,28.381530,13.128548,22.716709,20.486775,28.381530,37.914450000,128.174970000,37.914450000,128.174970000,37.914963000,128.174940000,37.914866712,128.174779326,37.914402000,128.175450000,37.914643902,128.175552079,37.913950000,128.174990000,37.914011118,128.175117849,37.914455000,128.174480000,37.914255833,128.174423654
5,5,826609414285,1.004,4.097963,37.909090000,128.171520000,1393.000000,5083.721542,5459.321779,375.600236,7.388293,0.084077,21.929032,27.197163,17.531315,22.859000,22.379128,27.197163,37.914790000,128.174910000,37.914790000,128.174910000,37.915320000,128.174880000,37.915191479,128.174690765,37.914745000,128.175400000,37.914979700,128.175486031,37.914280000,128.174930000,37.914370519,128.175093353,37.914745000,128.174400000,37.914545454,128.174338573
6,6,826609414489,1.208,4.097963,37.909157000,128.171520000,1393.000000,3988.299814,4459.216156,470.916342,11.807446,3.533427,18.971504,32.261829,23.278153,23.586127,24.524403,32.261829,37.914375000,128.174260000,37.914375000,128.174260000,37.914820000,128.174200000,37.914720462,128.174024656,37.914337000,128.174710000,37.914615224,128.174812841,37.913920000,128.174300000,37.914060910,128.174495842,37.914368000,128.173800000,37.914159034,128.173755629
7,7,826609414692,1.411,4.097963,37.909218000,128.171510000,1392.000000,3850.818489,3993.305948,142.487459,3.700186,0.866724,22.164310,27.261241,22.560142,28.512035,25.124432,28.512035,37.913910000,128.173570000,37.913910000,128.173570000,37.914400000,128.173520000,37.914257635,128.173343567,37.913914000,128.174000000,37.914153880,128.174062477,37.913445000,128.173600000,37.913585326,128.173785338,37.913975000,128.173170000,37.913720626,128.173132072
8,8,826609414880,1.599,4.097963,37.909286000,128.171510000,1392.000000,3128.649193,2802.440718,-326.208475,-10.426496,8.124545,30.973152,49.728553,15.369828,54.838503,37.727509,54.838503,37.913414000,128.172730000,37.913414000,128.172730000,37.913418000,128.172360000,37.913681075,128.172474829,37.913845000,128.172650000,37.913596513,128.173120544,37.913246000,128.173050000,37.913126828,128.172961626,37.912890000,128.172760000,37.913274231,128.172369234
9,9,826609415085,1.804,4.097963,37.909348000,128.171510000,1391.000000,2252.392575,2277.814366,25.421791,1.128657,6.792996,14.789165,41.651562,31.863224,36.256329,31.140070,41.651562,37.912846000,128.172000000,37.912846000,128.172000000,37.912857000,128.171660000,37.912978681,128.171727592,37.913216000,128.171890000,37.913098061,128.172340080,37.912945000,128.172350000,37.912667358,128.172261786,37.912575000,128.172100000,37.912605242,128.171688959
