sample_index,log_frame_index,timestamp,time_s,fov_deg,uav_lat,uav_lon,uav_alt,actual_area_m2,predicted_area_m2,area_error_m2,area_error_pct,centroid_error_m,corner_error_c1_m,corner_error_c2_m,corner_error_c3_m,corner_error_c4_m,mean_corner_error_m,max_corner_error_m,actual_center_lat,actual_center_lon,predicted_center_lat,predicted_center_lon,actual_c1_lat,actual_c1_lon,predicted_c1_lat,predicted_c1_lon,actual_c2_lat,actual_c2_lon,predicted_c2_lat,predicted_c2_lon,actual_c3_lat,actual_c3_lon,predicted_c3_lat,predicted_c3_lon,actual_c4_lat,actual_c4_lon,predicted_c4_lat,predicted_c4_lon
0,0,825159703941,0.000,10.000000,38.054370000,127.254430000,637.000000,8819.742374,9363.874079,544.131705,6.169474,405.390016,304.826111,464.727954,414.041710,445.939503,407.383819,464.727954,38.053955000,127.244125000,38.053955000,127.244125000,38.053970000,127.243210000,38.053586480,127.246653235,38.054447000,127.244026000,38.054470710,127.249327616,38.053950000,127.245060000,38.054465033,127.249737959,38.053467000,127.244290000,38.053855857,127.249353335
1,1,825159704144,0.203,10.000000,38.054314000,127.254340000,637.000000,8149.181550,183390.315410,175241.133859,2150.413913,933.248194,4806.907993,381.862142,331.238161,365.153252,1471.290387,4806.907993,38.054222000,127.244910000,38.054222000,127.244910000,38.054240000,127.243996000,38.049782131,127.189450723,38.054676000,127.244804000,38.054574189,127.249158450,38.054207000,127.245850000,38.054553676,127.249603105,38.053770000,127.245090000,38.053956487,127.249249013
2,2,825159704334,0.393,10.000000,38.054268000,127.254265000,636.000000,7204.830953,3015.154632,-4189.676321,-58.150932,315.219319,364.476625,316.652168,269.991091,313.565766,316.171413,364.476625,38.054596000,127.245930000,38.054596000,127.245930000,38.054634000,127.245030000,38.054162101,127.249144638,38.055004000,127.245810000,38.054752916,127.249408357,38.054558000,127.246860000,38.054702810,127.249934640,38.054184000,127.246124000,38.054171079,127.249701209
3,3,825159704532,0.591,10.000000,38.054207000,127.254170000,636.000000,6298.478271,3055.051373,-3243.426898,-51.495405,251.195003,305.619069,246.738500,219.883445,235.735111,251.994031,305.619069,38.054840000,127.246820000,38.054840000,127.246820000,38.054897000,127.245930000,38.054331602,127.249341862,38.055218000,127.246670000,38.054902073,127.249456132,38.054783000,127.247710000,38.054791857,127.250218476,38.054470000,127.247025000,38.054319769,127.249707566
4,4,825159704733,0.792,10.000000,38.054142000,127.254100000,636.000000,5239.650860,3367.392255,-1872.258604,-35.732507,198.207371,236.538914,200.079412,189.156586,169.789762,198.891169,236.538914,38.055042000,127.247620000,38.055042000,127.247620000,38.055115000,127.246765000,38.054511057,127.249352225,38.055386000,127.247444000,38.055033143,127.249682157,38.054970000,127.248410000,38.054857493,127.250563230,38.054700000,127.247820000,38.054478759,127.249736535
5,5,825159704953,1.012,10.000000,38.054077000,127.254010000,636.000000,4338.516492,3566.339141,-772.177351,-17.798189,124.227593,149.808324,133.170671,121.246711,96.427911,125.163404,149.808324,38.055195000,127.248290000,38.055195000,127.248290000,38.055280000,127.247520000,38.054732251,127.249081096,38.055520000,127.248110000,38.055229494,127.249583785,38.055115000,127.249010000,38.055021361,127.250388107,38.054880000,127.248500000,38.054666302,127.249566084
11,11,825159706133,2.192,10.000000,38.053635000,127.253640000,637.000000,2274.330941,2517.470590,243.139649,10.690601,2.443849,15.852122,31.888915,14.753513,33.624520,24.029767,33.624520,38.054980000,127.250030000,38.054980000,127.250030000,38.055030000,127.249504000,38.054914142,127.249398851,38.055240000,127.249810000,38.055193068,127.250168884,38.054935000,127.250500000,38.054974321,127.250660735,38.054730000,127.250250000,38.054769894,127.249869760
12,12,825159706344,2.403,10.000000,38.053555000,127.253586000,637.000000,2297.323427,2069.886303,-227.437124,-9.900092,10.814073,22.289007,36.585300,16.615199,25.369567,25.214768,36.585300,38.054720000,127.249990000,38.054720000,127.249990000,38.054756000,127.249460000,38.054578729,127.249578218,38.054977000,127.249756000,38.054912919,127.250165365,38.054690000,127.250465000,38.054723954,127.250649581,38.054478000,127.250220000,38.054485117,127.249930717
13,13,825159706535,2.594,10.000000,38.053470000,127.253550000,637.000000,2327.649060,1933.731360,-393.917700,-16.923415,12.327050,34.364695,27.069314,11.801832,16.253196,22.372259,34.364695,38.054460000,127.249985000,38.054460000,127.249985000,38.054474000,127.249450000,38.054272316,127.249746806,38.054707000,127.249740000,38.054689358,127.250048000,38.054443000,127.250465000,38.054513352,127.250565723,38.054222000,127.250230000,38.054204746,127.250045879
14,14,825159706741,2.800,10.000000,38.053390000,127.253500000,638.000000,2310.859223,1572.642086,-738.217137,-31.945569,3.661973,34.203860,16.512060,21.425148,15.562448,21.925879,34.203860,38.054200000,127.249990000,38.054200000,127.249990000,38.054195000,127.249466000,38.054006926,127.249774565,38.054440000,127.249730000,38.054461454,127.249916392,38.054203000,127.250465000,38.054349779,127.250306897,38.053970000,127.250244000,38.053953402,127.250067716
