sample_index,log_frame_index,timestamp,time_s,fov_deg,uav_lat,uav_lon,uav_alt,actual_area_m2,predicted_area_m2,area_error_m2,area_error_pct,centroid_error_m,corner_error_c1_m,corner_error_c2_m,corner_error_c3_m,corner_error_c4_m,mean_corner_error_m,max_corner_error_m,actual_center_lat,actual_center_lon,predicted_center_lat,predicted_center_lon,actual_c1_lat,actual_c1_lon,predicted_c1_lat,predicted_c1_lon,actual_c2_lat,actual_c2_lon,predicted_c2_lat,predicted_c2_lon,actual_c3_lat,actual_c3_lon,predicted_c3_lat,predicted_c3_lon,actual_c4_lat,actual_c4_lon,predicted_c4_lat,predicted_c4_lon
0,0,826609966434,0.000,4.798352,37.911613000,128.181880000,1473.000000,2533.317394,1933.308111,-600.009283,-23.684726,0.611445,7.747466,7.972972,8.380575,7.156937,7.814488,8.380575,37.910213000,128.181880000,37.910213000,128.181880000,37.910090000,128.182300000,37.910065620,128.182217378,37.909992000,128.181530000,37.910062989,128.181542048,37.910320000,128.181460000,37.910358151,128.181542260,37.910420000,128.182220000,37.910355721,128.182218394
1,1,826609966638,0.204,4.798352,37.911575000,128.181820000,1473.000000,2505.453841,1927.336005,-578.117836,-23.074376,0.259629,9.044072,8.544633,9.767287,8.827038,9.045758,9.767287,37.910187000,128.181870000,37.910187000,128.181870000,37.910090000,128.182300000,37.910047574,128.182212181,37.909954000,128.181550000,37.910030171,128.181537989,37.910270000,128.181440000,37.910324232,128.181527422,37.910416000,128.182190000,37.910337348,128.182202769
2,2,826609966841,0.407,4.798352,37.911537000,128.181760000,1474.000000,2478.567733,1927.329760,-551.237973,-22.240182,0.270320,9.720672,9.400714,10.308955,9.928205,9.839636,10.308955,37.910168000,128.181840000,37.910168000,128.181840000,37.910090000,128.182270000,37.910033834,128.182185254,37.909924000,128.181530000,37.910007178,128.181511507,37.910236000,128.181410000,37.910300517,128.181494204,37.910410000,128.182140000,37.910323857,128.182169280
3,3,826609967044,0.610,4.798352,37.911503000,128.181700000,1475.000000,2480.914618,1928.026764,-552.887854,-22.285646,1.154339,10.708129,10.143158,12.261422,11.837343,11.237513,12.261422,37.910156000,128.181800000,37.910156000,128.181800000,37.910103000,128.182220000,37.910025728,128.182147387,37.909904000,128.181500000,37.909992776,128.181473989,37.910210000,128.181350000,37.910285304,128.181451883,37.910416000,128.182080000,37.910316247,128.182126689
4,4,826609967231,0.797,4.097963,37.911465000,128.181640000,1476.000000,1840.046249,1376.317300,-463.728950,-25.202027,1.107659,7.706939,8.505905,8.391841,8.703494,8.327045,8.703494,37.909588000,128.181580000,37.909588000,128.181580000,37.909496000,128.181930000,37.909449768,128.181864683,37.909412000,128.181290000,37.909488399,128.181291630,37.909695000,128.181210000,37.909724662,128.181297840,37.909780000,128.181850000,37.909703728,128.181871788
5,5,826609967435,1.001,4.097963,37.911427000,128.181560000,1477.000000,1846.562362,1409.915761,-436.646602,-23.646458,0.587580,9.032312,9.879230,8.639456,8.867679,9.104669,9.879230,37.909016000,128.180400000,37.909016000,128.180400000,37.908850000,128.180710000,37.908824197,128.180612500,37.908875000,128.180050000,37.908962731,128.180066965,37.909172000,128.180100000,37.909207274,128.180187619,37.909130000,128.180740000,37.909051746,128.180721115
6,6,826609967638,1.204,4.097963,37.911390000,128.181500000,1477.000000,2356.784665,1889.510665,-467.274000,-19.826758,2.124820,16.397681,10.711614,12.543864,14.043071,13.424058,16.397681,37.908970000,128.179440000,37.908970000,128.179440000,37.908802000,128.179750000,37.908725906,128.179590142,37.908840000,128.179000000,37.908930818,128.179040305,37.909172000,128.179150000,37.909206298,128.179286044,37.909107000,128.179870000,37.908991160,128.179806689
7,7,826609967842,1.408,4.097963,37.911354000,128.181440000,1478.000000,2377.114504,1811.262245,-565.852260,-23.804165,0.839245,12.584873,12.534169,11.297169,13.212055,12.407066,13.212055,37.909176000,128.178570000,37.909176000,128.178570000,37.908913000,128.178800000,37.908904071,128.178657160,37.909145000,128.178150000,37.909245582,128.178214143,37.909435000,128.178360000,37.909448155,128.178487541,37.909218000,128.179020000,37.909120570,128.178934096
8,8,826609968045,1.611,4.097963,37.911312000,128.181370000,1479.000000,2288.915924,1675.058910,-613.857014,-26.818679,0.502000,11.906889,12.826282,11.216039,12.947276,12.224122,12.947276,37.909460000,128.177870000,37.909460000,128.177870000,37.909153000,128.178010000,37.909165731,128.177875395,37.909520000,128.177470000,37.909598285,128.177577152,37.909767000,128.177730000,37.909743562,128.177854200,37.909416000,128.178280000,37.909330571,128.178179965
9,9,826609968233,1.799,4.097963,37.911274000,128.181300000,1479.000000,1970.466456,1534.576779,-435.889677,-22.121142,1.753995,9.731853,6.086722,7.978199,10.351823,8.537149,10.351823,37.909813000,128.177320000,37.909813000,128.177320000,37.909485000,128.177370000,37.909527359,128.177273071,37.909946000,128.177020000,37.909985450,128.177067986,37.910137000,128.177290000,37.910091848,128.177360544,37.909687000,128.177670000,37.909637555,128.177570178
10,10,826609968436,2.002,4.097963,37.911236000,128.181240000,1480.000000,1990.498043,1542.834562,-447.663481,-22.490024,0.849070,7.521346,8.226681,8.018739,5.564842,7.332902,8.226681,37.910233000,128.176940000,37.910233000,128.176940000,37.909912000,128.176910000,37.909961527,128.176851750,37.910410000,128.176620000,37.910428639,128.176710640,37.910550000,128.176960000,37.910500821,128.177026711,37.910050000,128.177230000,37.910037028,128.177168810
11,11,826609968639,2.205,4.097963,37.911200000,128.181180000,1480.000000,2057.214361,1577.453185,-479.761177,-23.320913,1.161232,6.441046,8.382785,7.909051,6.115505,7.212097,8.382785,37.910650000,128.176530000,37.910650000,128.176530000,37.910343000,128.176440000,37.910392347,128.176401708,37.910870000,128.176220000,37.910866903,128.176315365,37.910954000,128.176590000,37.910904726,128.176654875,37.910427000,128.176800000,37.910433077,128.176730797
12,12,826609968842,2.408,4.097963,37.911156000,128.181120000,1481.000000,2203.317370,1718.008188,-485.309182,-22.026295,0.548348,6.317129,3.416559,5.613776,4.826303,5.043442,6.317129,37.911095000,128.175420000,37.911095000,128.175420000,37.910793000,128.175200000,37.910844860,128.175229203,37.911366000,128.175250000,37.911339435,128.175269482,37.911390000,128.175610000,37.911340380,128.175621406,37.910820000,128.175630000,37.910851993,128.175592914
13,13,826609969045,2.611,4.097963,37.911120000,128.181050000,1481.000000,2932.336503,2311.422148,-620.914355,-21.174731,1.139069,4.688116,4.450253,7.535778,4.390903,5.266263,7.535778,37.910940000,128.174180000,37.910940000,128.174180000,37.910633000,128.173930000,37.910671415,128.173951875,37.911236000,128.173930000,37.911196036,128.173931300,37.911236000,128.174470000,37.911201231,128.174396380,37.910650000,128.174400000,37.910689431,128.174398718
14,14,826609969234,2.800,4.097963,37.911083000,128.180980000,1481.000000,3051.274473,2190.707169,-860.567304,-28.203536,1.494829,7.038124,5.583958,8.758269,5.701180,6.770383,8.758269,37.910892000,128.173460000,37.910892000,128.173460000,37.910580000,128.173160000,37.910615116,128.173226639,37.911205000,128.173260000,37.911156078,128.173245956,37.911198000,128.173740000,37.911161723,128.173651512,37.910587000,128.173690000,37.910631633,128.173658165
15,15,826609969437,3.003,4.097963,37.911040000,128.180920000,1482.000000,3081.338960,2161.685960,-919.653000,-29.845889,2.544365,13.191438,6.132941,6.550709,6.724308,8.149849,13.191438,37.910880000,128.172500000,37.910880000,128.172500000,37.910557000,128.172100000,37.910593301,128.172242976,37.911210000,128.172350000,37.911154919,128.172351460,37.911190000,128.172780000,37.911158440,128.172717048,37.910553000,128.172640000,37.910607003,128.172674303
16,16,826609969640,3.206,4.097963,37.911003000,128.180860000,1482.000000,2695.528059,2028.465491,-667.062568,-24.747009,3.602404,7.218854,8.885027,2.635355,6.615331,6.338642,8.885027,37.911266000,128.172640000,37.911266000,128.172640000,37.910980000,128.172350000,37.910996168,128.172429598,37.911613000,128.172400000,37.911548305,128.172459249,37.911556000,128.172820000,37.911533045,128.172827337,37.910930000,128.172800000,37.910987897,128.172816978
17,17,826609969843,3.409,4.097963,37.910965000,128.180800000,1482.000000,2755.491317,2071.744210,-683.747107,-24.813982,4.334396,6.549757,11.119638,9.871284,8.207334,8.937003,11.119638,37.911740000,128.173220000,37.911740000,128.173220000,37.911472000,128.172960000,37.911487194,128.173032047,37.912080000,128.173140000,37.912035057,128.173026930,37.911990000,128.173540000,37.911989533,128.173427606,37.911385000,128.173450000,37.911452240,128.173411669
